Make,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,Fuel_Consumption_Comb,CO2_Emissions
0,0,2,4,14,4,9.9,6.7,8.5,33,196
0,0,2.4,4,25,4,11.2,7.7,9.6,29,221
0,0,1.5,4,22,4,6,5.8,5.9,48,136
0,11,3.5,6,15,4,12.7,9.1,11.1,25,255
0,11,3.5,6,15,4,12.1,8.7,10.6,27,244
0,2,3.5,6,15,4,11.9,7.7,10,28,230
0,2,3.5,6,15,4,11.8,8.1,10.1,28,232
0,2,3.7,6,15,4,12.8,9,11.1,25,255
0,2,3.7,6,25,4,13.4,9.5,11.6,24,267
0,0,2.4,4,14,4,10.6,7.5,9.2,31,212
0,0,2.4,4,25,4,11.2,8.1,9.8,29,225
0,0,3.5,6,14,4,12.1,8.3,10.4,27,239
1,13,1.8,4,8,4,9.7,6.9,8.4,34,193
2,3,5.9,12,4,4,18,12.6,15.6,18,359
2,10,5.9,12,3,4,18,12.6,15.6,18,359
2,13,4.7,8,9,4,17.4,11.3,14.7,19,338
2,13,4.7,8,25,4,18.1,12.2,15.4,18,354
2,13,4.7,8,9,4,17.4,11.3,14.7,19,338
2,13,4.7,8,25,4,18.1,12.2,15.4,18,354
2,3,5.9,12,3,4,18,12.6,15.6,18,359
3,0,2,4,23,4,9.9,7.4,8.8,32,202
3,0,2,4,17,4,11.5,8.1,10,28,230
3,0,2,4,25,4,10.8,7.5,9.3,30,214
3,10,2,4,17,4,11.5,8.1,10,28,230
3,10,2,4,17,4,11.5,8.1,10,28,230
3,10,2,4,25,4,10.8,7.5,9.3,30,214
3,2,2,4,17,4,12,8.1,10.2,28,235
3,2,3,6,17,4,12.8,8.6,10.9,26,251
3,2,3,6,17,0,9.8,6.2,8.1,35,217
3,2,3,6,17,4,13.3,8.5,11.2,25,262
3,2,3,6,17,0,9.8,6.2,8.1,35,217
3,2,3,6,17,4,13.1,8.8,11.2,25,258
3,2,4,8,17,4,13.7,8.3,11.3,25,265
3,2,3,6,17,0,9.8,6.5,8.4,34,224
3,1,3,6,17,4,13.1,8.8,11.2,25,258
3,1,4,8,17,4,14.7,9.7,12.5,23,288
3,1,6.3,12,17,4,18.7,11.5,15.5,18,363
3,1,3,6,17,0,9.8,6.5,8.4,34,224
3,9,2,4,17,4,11.8,8.8,10.5,27,242
3,11,2,4,17,4,12,8.5,10.4,27,239
3,11,3,6,17,4,12.9,9.2,11.2,25,258
3,11,3,6,17,0,10.2,7.8,9,31,244
3,11,2,4,17,4,9.9,8.3,9.2,31,212
3,12,3,6,17,4,15.1,10.9,13.2,21,304
3,12,3,6,17,0,12.4,8.7,10.7,26,290
3,13,4.2,8,4,4,17.6,11,14.6,19,336
3,13,4.2,8,25,4,21.2,13.4,17.7,16,407
3,13,5.2,10,4,4,18.2,10.6,14.8,19,347
3,13,5.2,10,25,4,21.1,13.8,17.8,16,409
3,13,4.2,8,4,4,17.6,11,14.6,19,336
3,13,4.2,8,25,4,21.2,13.4,17.7,16,407
3,13,5.2,10,4,4,18.2,10.6,14.8,19,347
3,13,5.2,10,25,4,21.1,13.8,17.8,16,409
